buyer_id,sector_id,buyer_name,sector_name,is_externally_funded,price_dev_median,price_dev_p25,price_dev_p75,price_dev_n,single_bidder_rate,single_bidder_n,total_with_bids,no_bid_data_count,non_open_share,non_open_count,total_tenders,bunching_25L,bunching_1Cr,bunching_10Cr,bunching_composite,bunching_n,stickiness_top3,total_award_value,n_suppliers,top3_value,pctile_price_dev,pctile_single_bidder,pctile_non_open,pctile_bunching,pctile_stickiness,composite_equal,composite_pricedev2x,composite_singlebid2x
45,1,Directorate of Agriculture and Assam Seed Corporation,roads,False,,,,,,0.0,2.0,2.0,,0.0,4.0,0.0,0.0,0.0,0.0,4.0,,,,,,,,36.206896551724135,,,,
45,3,Directorate of Agriculture and Assam Seed Corporation,buildings,False,-0.2119,-0.2552933774999999,-0.15212820955607376,64.0,0.042682926829268296,7.0,164.0,45.0,,0.0,209.0,0.0,0.0,0.0,0.0,209.0,0.34271490960466194,271971277.84000003,36.0,93208611.9,15.0,66.66666666666666,,35.526315789473685,20.0,34.29824561403508,,
45,4,Directorate of Agriculture and Assam Seed Corporation,schools,False,-0.1485500027383358,-0.17555325287634305,-0.11609242092866665,66.0,0.041666666666666664,5.0,120.0,3.0,,0.0,123.0,0.0,0.0,0.0,0.0,122.0,0.15019215557954443,529377441.14,43.0,79508339.0,18.181818181818183,70.58823529411765,,42.42424242424242,11.11111111111111,35.57635175282234,,
45,6,Directorate of Agriculture and Assam Seed Corporation,water_sanitation,False,,-0.13201443985772687,-0.13201443985772687,1.0,,0.0,3.0,3.0,,0.0,6.0,0.0,0.0,0.0,0.0,6.0,,2613600.0,1.0,2613600.0,,,,37.03703703703704,,,,
45,7,Directorate of Agriculture and Assam Seed Corporation,electricity_power,False,,,,,,0.0,2.0,1.0,,0.0,3.0,,,,,,,,,,,,,,,,,
45,8,Directorate of Agriculture and Assam Seed Corporation,it_computing,False,,,,,,0.0,1.0,1.0,,0.0,2.0,,,,,,,,,,,,,,,,,
45,10,Directorate of Agriculture and Assam Seed Corporation,other,False,-0.10990000034726774,-0.1519160002020874,-0.07100011190981435,5.0,0.0625,4.0,64.0,22.0,,0.0,86.0,0.022727272727272728,0.022727272727272728,0.0,0.015151515151515152,44.0,0.5557819253322496,56640830.81,12.0,31479950.0,35.0,53.94736842105263,,68.57142857142857,57.89473684210527,53.85338345864662,,
46,8,Directorate of Forensic Science Assam,it_computing,False,,,,,,0.0,1.0,0.0,,0.0,1.0,,,,,,,3045000.0,1.0,3045000.0,,,,,,,,
46,9,Directorate of Forensic Science Assam,vehicles,False,,,,,,0.0,2.0,0.0,,0.0,2.0,,,,,,,25504407.0,1.0,25504407.0,,,,,,,,
46,10,Directorate of Forensic Science Assam,other,False,,,,,0.2222222222222222,2.0,9.0,1.0,,0.0,10.0,,,,,,,2200000.0,1.0,2200000.0,,92.10526315789474,,,,,,
