buyer_id,sector_id,buyer_name,sector_name,price_dev_median,price_dev_p25,price_dev_p75,price_dev_n,single_bidder_rate,single_bidder_n,total_with_bids,no_bid_data_count,non_open_share,non_open_count,total_tenders,bunching_25L,bunching_1Cr,bunching_10Cr,bunching_composite,bunching_n,stickiness_top3,total_award_value,n_suppliers,top3_value,pctile_price_dev,pctile_single_bidder,pctile_non_open,pctile_bunching,pctile_stickiness,composite_equal,composite_pricedev2x,composite_singlebid2x
37,4,Department of Housing and Urban Affairs,schools,,,,,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,,45.714285714285715,42.42424242424242,,44.069264069264065,,
37,6,Department of Housing and Urban Affairs,water_sanitation,-0.1,-0.1,-0.007936997234604164,16.0,0.047619047619047616,1.0,21.0,5.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,26.0,0.6931856348200215,170994725.0,14.0,118531087.0,42.30769230769231,53.333333333333336,44.11764705882353,37.93103448275862,30.434782608695656,41.62489795826069,41.738697016499295,43.57630385410613
37,7,Department of Housing and Urban Affairs,electricity_power,,-8.941527955612462e-05,-8.941527955612462e-05,1.0,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,18742324.0,1.0,18742324.0,,,44.827586206896555,38.095238095238095,72.22222222222221,51.71501550811896,,
37,8,Department of Housing and Urban Affairs,it_computing,,-0.020125348086010044,-0.007791010244424691,2.0,,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,15742108.0,1.0,15742108.0,,,50.0,53.84615384615385,58.82352941176471,54.223227752639524,,
37,9,Department of Housing and Urban Affairs,vehicles,,,,,,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,,,,,,,48.275862068965516,44.73684210526316,,46.50635208711434,,
37,10,Department of Housing and Urban Affairs,other,-0.000543308803488689,-0.03441456995777662,-0.00010843326884223058,35.0,0.06521739130434782,3.0,46.0,21.0,0.0,0.0,67.0,0.0,0.11940298507462686,0.0,0.03980099502487562,67.0,0.42469478099656255,1556653238.0,30.0,661102506.0,85.0,56.09756097560976,39.81481481481482,94.44444444444444,20.930232558139537,59.25741055860171,63.54784213216809,58.73076896143639
38,10,Department of Labour and Welfare,other,,,,,0.375,3.0,8.0,4.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,1.0,629388462.7,2.0,629388462.7,,95.1219512195122,39.81481481481482,27.77777777777778,80.23255813953489,60.73677548790992,,
39,3,Department of Science and Technology,buildings,,,,,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,,46.73913043478261,36.25,,41.494565217391305,,
39,7,Department of Science and Technology,electricity_power,,,,,,0.0,1.0,1.0,0.0,0.0,2.0,,,,,,,,,,,,44.827586206896555,,,44.827586206896555,,
39,10,Department of Science and Technology,other,,,,,0.16666666666666666,1.0,6.0,2.0,0.125,1.0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,11743437.0,2.0,11743437.0,,80.48780487804879,90.74074074074075,27.77777777777778,80.23255813953489,69.80972038402555,,
40,1,Department of Tourism,roads,,,,,,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,,,,,,,46.875,35.0,,40.9375,,
40,3,Department of Tourism,buildings,,0.1307955972704534,0.1307955972704534,1.0,0.0,0.0,5.0,15.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,20.0,1.0,465650319.0,1.0,465650319.0,,26.0,46.73913043478261,36.25,83.92857142857143,48.22942546583851,,
40,6,Department of Tourism,water_sanitation,,,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,,44.11764705882353,37.93103448275862,,41.02434077079107,,
