ocid,sector_name,classification_method
ocds-f5kvwu-2020_DoWR_18786_1,water_sanitation,buyer
ocds-f5kvwu-2020_DoWR_18820_1,water_sanitation,buyer
ocds-f5kvwu-2020_DoWR_18876_1,water_sanitation,buyer
ocds-f5kvwu-2020_DoWR_19254_1,water_sanitation,buyer
ocds-f5kvwu-2020_DoWR_19573_1,water_sanitation,buyer
ocds-f5kvwu-2020_DoWR_19573_2,water_sanitation,buyer
ocds-f5kvwu-2020_DoWR_19578_1,water_sanitation,buyer
ocds-f5kvwu-2020_FCS_18248_1,other,default_other
ocds-f5kvwu-2020_FD_18048_1,other,default_other
ocds-f5kvwu-2020_FD_18270_1,other,default_other
ocds-f5kvwu-2020_FD_19656_1,other,default_other
ocds-f5kvwu-2020_GAD_19046_1,other,default_other
ocds-f5kvwu-2020_GMC_17959_1,vehicles,keyword
ocds-f5kvwu-2020_GMC_17959_2,vehicles,keyword
ocds-f5kvwu-2020_GMC_18042_1,other,default_other
ocds-f5kvwu-2020_GMC_18565_1,bridges,keyword
ocds-f5kvwu-2020_GMC_18565_2,bridges,keyword
ocds-f5kvwu-2020_GMC_18565_3,bridges,keyword
ocds-f5kvwu-2020_GMC_18565_4,bridges,keyword
ocds-f5kvwu-2020_GMC_18565_5,bridges,keyword
ocds-f5kvwu-2020_GMC_18565_6,bridges,keyword
ocds-f5kvwu-2020_GMC_18565_7,bridges,keyword
ocds-f5kvwu-2020_GMC_18565_8,bridges,keyword
ocds-f5kvwu-2020_GMC_19049_1,other,default_other
ocds-f5kvwu-2020_GMC_19075_1,other,default_other
ocds-f5kvwu-2020_GMC_19078_1,other,default_other
ocds-f5kvwu-2020_GMC_19248_1,roads,keyword
ocds-f5kvwu-2020_GMC_19248_12,other,default_other
ocds-f5kvwu-2020_GMC_19248_13,water_sanitation,keyword
ocds-f5kvwu-2020_GMC_19248_15,other,default_other
ocds-f5kvwu-2020_GMC_19248_16,roads,keyword
ocds-f5kvwu-2020_GMC_19248_17,roads,keyword
ocds-f5kvwu-2020_GMC_19248_2,water_sanitation,keyword
ocds-f5kvwu-2020_GMC_19248_3,water_sanitation,keyword
ocds-f5kvwu-2020_GMC_19248_4,roads,keyword
ocds-f5kvwu-2020_GMC_19248_5,other,default_other
ocds-f5kvwu-2020_GMC_19248_6,other,default_other
ocds-f5kvwu-2020_GMC_19248_8,water_sanitation,keyword
ocds-f5kvwu-2020_GMC_19248_9,water_sanitation,keyword
ocds-f5kvwu-2020_GMC_19615_1,other,default_other
ocds-f5kvwu-2020_GMC_19620_1,electricity_power,keyword
ocds-f5kvwu-2020_GMC_19620_2,electricity_power,keyword
ocds-f5kvwu-2020_GMC_19620_3,electricity_power,keyword
ocds-f5kvwu-2020_GMC_19620_4,electricity_power,keyword
ocds-f5kvwu-2020_GMC_19667_1,water_sanitation,keyword
ocds-f5kvwu-2020_GMC_19667_10,other,default_other
ocds-f5kvwu-2020_GMC_19667_2,water_sanitation,keyword
ocds-f5kvwu-2020_GMC_19667_3,water_sanitation,keyword
ocds-f5kvwu-2020_GMC_19667_4,other,default_other
ocds-f5kvwu-2020_GMC_19667_5,water_sanitation,keyword
ocds-f5kvwu-2020_GMC_19667_6,water_sanitation,keyword
