ocid,tender_title,tender_value_amount,value_amount,tender_procurementMethod,tender_fiscalYear,price_deviation
ocds-f5kvwu-2020_PWD_19226_4,Construction of Road Iternery of Chotojan Tea Estate under SOPD(ODS) for the year 2020-21 in Golaghat andKhumtai Territorial Road Division in Khumtai LAC (L-1.995 Km). Pkg. No. SOPD(ODS)/GKTRD/KHM/04,9999767.0,9999330.97,Open Tender,2020-2021,-4.360401597350513e-05
ocds-f5kvwu-2020_PWD_19226_5,Construction of Road Internery of Athabari Tea Estate under SOPD(ODS) for the year 2020-21 in Golaghat andKhumtai Territorial Road Division (L-1.877 Km). Pkg. No. SOPD(ODS)/GKTRD/KHM/05,9999734.0,9999178.19,Open Tender,2020-2021,-5.558247849398009e-05
ocds-f5kvwu-2020_PWD_19298_1,CE/AM/SOPD(L1)/40/2020-21/10,1124300000.0,1011870000.0,Open Tender,2020-2021,-0.1
ocds-f5kvwu-2020_PWD_19298_2,CE/AM/SOPD(L1)/39/2020-21/9,1595500000.0,1665769284.0,Open Tender,2020-2021,0.04404217110623629
ocds-f5kvwu-2020_PWD_19298_3,CE/AM/SOPD(L1)/33/2020-21/3B,907100000.0,947154760.0,Open Tender,2020-2021,0.044156939697938484
ocds-f5kvwu-2020_PWD_19298_4,CE/AM/SOPD(L1)/33/2020-21/3A,899300000.0,938973406.0,Open Tender,2020-2021,0.04411587456910931
ocds-f5kvwu-2020_PWD_19312_12,"Re-construction of Rupshi Airport Road to Saheb Ganj Bazar under SOPD-G for the year 2020-21, Gauripur LAC. Package No. SOPD(G)_WAC_106.",15735075.0,14939666.63,Open Tender,2020-2021,-0.05055002089281425
ocds-f5kvwu-2020_PWD_19377_1,Construction of Arjunguri Path (from Ch. 0.00m to 2000.00m) under under SOPD(G) for the year 2020-21 in Golaghat and Khumtai Territorial Road Division (Khumtai LAC). Pkg. No. SOPD(G)/2020-21/GKTRD/KHM/01,15536596.0,15531377.4,Open Tender,2020-2021,-0.0003358908219020194
ocds-f5kvwu-2020_PWD_19377_10,Construction of Road from Senchowa Path to Dakhin Hengra connecting Path under SOPD(G) for the year 2020-21 in Golaghat and Khumtai Territorial Road Division (Khumtai LAC). Pkg. No. SOPD(G)/2020-21/GKTRD/KHM/10,8455531.0,8454510.91,Open Tender,2020-2021,-0.00012064174325655609
ocds-f5kvwu-2020_PWD_19377_11,"Cons. of (i) Sevadol Ali (Ch.0.00m to 1600.00m), (ii) Laobhaga Namghar Path (Ch.0.00m to 46.00m) under under SOPD(G) for the year 2020-21 in Golaghat and Khumtai Territorial Road Division. Pkg. No. SOPD(G)/2020-21/GKTRD/KHM/11",12118969.0,12118229.2,Open Tender,2020-2021,-6.104479679754483e-05
ocds-f5kvwu-2020_PWD_19377_2,Cons. of(i)Muktijoddha Debendra Nath Road(L-.63Km)(ii) Rudra Ram Saikia Road(L-.536Km)(iii)Atmaram Gogoi to Bartal Road(L-.80Km)under SOPD(G)for the year2020-21in Golaghat and Khumtai Territorial Road Division.Pkg.No. SOPD(G)/2020-21/GKTRD/KHM/02,13603988.0,13603195.4,Open Tender,2020-2021,-5.826232719402777e-05
ocds-f5kvwu-2020_PWD_19377_3,Cons. of(i)Dhodar Ali to Engg. College(Balance Portion)(ii)Gangadhar Saikia Road in Golaghat and Khumtai Territorial Road Division under SOPD(G)for the year 2020-21(L-.355) in Khumtai LAC.Pkg.No. SOPD(G)/2020-21/GKTRD/KHM/03,5119194.0,5118566.82,Open Tender,2020-2021,-0.00012251538035083296
